file_name,main_class,resolution,class_label,width,height,aspect_ratio,file_size_kb,mean_intensity,std_intensity,skewness,kurtosis,entropy,edge_density
150.tif,Flatfield,N/A,Canon120-1,512,512,1.0,6366.8017578125,0.9999975,0.00022443855,-226.86231994628906,66548.01,0.0017369644985071185,0.0
300.tif,Flatfield,N/A,Canon120-1,512,512,1.0,25495.0673828125,0.99999595,0.00025778386,-178.019287109375,48033.72,0.002790370670050333,0.0
150.tif,Flatfield,N/A,Canon120-2,512,512,1.0,25495.0673828125,0.99871963,0.025212405,-20.952857971191406,451.01962,0.03796178682889037,0.00525665283203125
300.tif,Flatfield,N/A,Canon120-2,512,512,1.0,25495.0673828125,0.99871475,0.025303364,-20.96457862854004,451.64075,0.03852742940230849,0.0052642822265625
150.tif,Flatfield,N/A,Canon220,512,512,1.0,6366.8017578125,0.99845886,0.033573326,-22.862642288208008,528.8212,0.0342345314908801,0.00391387939453125
300.tif,Flatfield,N/A,Canon220,512,512,1.0,25495.0673828125,0.99860126,0.031663485,-23.37894058227539,555.90546,0.03233602577386403,0.00391387939453125
150.tif,Flatfield,N/A,Canon9000-1,512,512,1.0,6374.0791015625,0.9969096,0.048179537,-16.15859031677246,263.4833,0.05912064096309136,0.0053253173828125
300.tif,Flatfield,N/A,Canon9000-1,512,512,1.0,25495.0712890625,0.99716556,0.045767922,-16.791183471679688,286.9454,0.0478910008857792,0.005374908447265625
150.tif,Flatfield,N/A,Canon9000-2,512,512,1.0,6374.0791015625,0.9999935,0.0016933077,-393.46875,171196.14,0.0010253302961388884,2.288818359375e-05
300.tif,Flatfield,N/A,Canon9000-2,512,512,1.0,25495.0712890625,0.99999416,0.0013981498,-439.3330383300781,207926.81,0.0016176830820738325,1.52587890625e-05
150.tif,Flatfield,N/A,EpsonV370-1,512,512,1.0,6353.5263671875,0.99894536,0.012967074,-25.3638916015625,736.44366,0.22948794250100282,0.00287628173828125
300.tif,Flatfield,N/A,EpsonV370-1,512,512,1.0,25495.0732421875,0.9989803,0.011646631,-25.19707679748535,738.6184,0.22728571792784547,0.00258636474609375
150.tif,Flatfield,N/A,EpsonV370-2,512,512,1.0,6353.5263671875,0.99896675,0.0127371345,-24.802392959594727,729.32526,0.19656156033224934,0.002513885498046875
300.tif,Flatfield,N/A,EpsonV370-2,512,512,1.0,25495.0732421875,0.99910057,0.01004389,-25.403879165649414,812.09296,0.18932054390914546,0.00140380859375
150.tif,Flatfield,N/A,EpsonV39-1,512,512,1.0,6374.0810546875,0.99999285,0.00025978495,-103.0700912475586,15108.287,0.0036283883294456107,0.0
300.tif,Flatfield,N/A,EpsonV39-1,512,512,1.0,25495.0732421875,0.9999825,0.00035246694,-62.53086853027344,6380.7236,0.011373659635047308,0.0
150.tif,Flatfield,N/A,EpsonV39-2,512,512,1.0,6374.0810546875,0.99978524,0.0013015453,-25.966127395629883,2045.6086,0.09213173956158294,0.0
300.tif,Flatfield,N/A,EpsonV39-2,512,512,1.0,25495.0732421875,0.99964315,0.0014147887,-29.720396041870117,2696.6458,0.10468235925880055,0.0
150.tif,Flatfield,N/A,EpsonV550,512,512,1.0,6368.9423828125,0.9995442,0.004728658,-11.92216682434082,151.05368,0.10035549189854956,0.0
300.tif,Flatfield,N/A,EpsonV550,512,512,1.0,25474.5185546875,0.99953437,0.004771782,-11.8997802734375,151.61308,0.10186140630034442,0.0
150.tif,Flatfield,N/A,HP,512,512,1.0,6334.1005859375,0.9952142,0.0012894826,-2.0723094940185547,28.567814,0.5530006250586749,0.0
300.tif,Flatfield,N/A,HP,512,512,1.0,25458.7333984375,0.98998284,0.001598224,-2.0614969730377197,25.280365,0.5147412663739805,0.0
