file_name,main_class,resolution,class_label,width,height,aspect_ratio,file_size_kb,mean_intensity,std_intensity,skewness,kurtosis,entropy,edge_density
150.tif,Flatfield,N/A,Canon120-1,512,512,1.0,6366.8017578125,0.9999974966049194,0.00022443855414167047,-226.86231994628906,66548.0078125,0.0017369644985071185,0.0
300.tif,Flatfield,N/A,Canon120-1,512,512,1.0,25495.0673828125,0.9999959468841553,0.0002577838604338467,-178.019287109375,48033.71875,0.002790370670050333,0.0
150.tif,Flatfield,N/A,Canon120-2,512,512,1.0,25495.0673828125,0.9987196326255798,0.025212405249476433,-20.952857971191406,451.0196228027344,0.03796178682889037,0.00525665283203125
300.tif,Flatfield,N/A,Canon120-2,512,512,1.0,25495.0673828125,0.9987147450447083,0.025303363800048828,-20.96457862854004,451.6407470703125,0.03852742940230849,0.0052642822265625
150.tif,Flatfield,N/A,Canon220,512,512,1.0,6366.8017578125,0.9984588623046875,0.03357332572340965,-22.862642288208008,528.8212280273438,0.0342345314908801,0.00391387939453125
300.tif,Flatfield,N/A,Canon220,512,512,1.0,25495.0673828125,0.9986012578010559,0.03166348487138748,-23.37894058227539,555.9054565429688,0.03233602577386403,0.00391387939453125
150.tif,Flatfield,N/A,Canon9000-1,512,512,1.0,6374.0791015625,0.9969096183776855,0.04817953705787659,-16.15859031677246,263.4833068847656,0.05912064096309136,0.0053253173828125
300.tif,Flatfield,N/A,Canon9000-1,512,512,1.0,25495.0712890625,0.9971655607223511,0.04576792195439339,-16.791183471679688,286.9454040527344,0.0478910008857792,0.005374908447265625
150.tif,Flatfield,N/A,Canon9000-2,512,512,1.0,6374.0791015625,0.9999935030937195,0.0016933076549321413,-393.46875,171196.140625,0.0010253302961388884,2.288818359375e-05
300.tif,Flatfield,N/A,Canon9000-2,512,512,1.0,25495.0712890625,0.999994158744812,0.0013981497613713145,-439.3330383300781,207926.8125,0.0016176830820738325,1.52587890625e-05
150.tif,Flatfield,N/A,EpsonV370-1,512,512,1.0,6353.5263671875,0.9989453554153442,0.012967074289917946,-25.3638916015625,736.4436645507812,0.22948794250100282,0.00287628173828125
300.tif,Flatfield,N/A,EpsonV370-1,512,512,1.0,25495.0732421875,0.9989802837371826,0.011646631173789501,-25.19707679748535,738.618408203125,0.22728571792784547,0.00258636474609375
150.tif,Flatfield,N/A,EpsonV370-2,512,512,1.0,6353.5263671875,0.9989667534828186,0.012737134471535683,-24.802392959594727,729.3252563476562,0.19656156033224934,0.002513885498046875
300.tif,Flatfield,N/A,EpsonV370-2,512,512,1.0,25495.0732421875,0.9991005659103394,0.010043890215456486,-25.403879165649414,812.0929565429688,0.18932054390914546,0.00140380859375
150.tif,Flatfield,N/A,EpsonV39-1,512,512,1.0,6374.0810546875,0.999992847442627,0.00025978495250456035,-103.0700912475586,15108.287109375,0.0036283883294456107,0.0
300.tif,Flatfield,N/A,EpsonV39-1,512,512,1.0,25495.0732421875,0.999982476234436,0.0003524669446051121,-62.53086853027344,6380.7236328125,0.011373659635047308,0.0
150.tif,Flatfield,N/A,EpsonV39-2,512,512,1.0,6374.0810546875,0.9997852444648743,0.0013015453005209565,-25.966127395629883,2045.608642578125,0.09213173956158294,0.0
300.tif,Flatfield,N/A,EpsonV39-2,512,512,1.0,25495.0732421875,0.9996431469917297,0.0014147886540740728,-29.720396041870117,2696.645751953125,0.10468235925880055,0.0
150.tif,Flatfield,N/A,EpsonV550,512,512,1.0,6368.9423828125,0.9995442032814026,0.004728658124804497,-11.92216682434082,151.05368041992188,0.10035549189854956,0.0
300.tif,Flatfield,N/A,EpsonV550,512,512,1.0,25474.5185546875,0.9995343685150146,0.004771782085299492,-11.8997802734375,151.6130828857422,0.10186140630034442,0.0
150.tif,Flatfield,N/A,HP,512,512,1.0,6334.1005859375,0.9952142238616943,0.0012894825777038932,-2.0723094940185547,28.567813873291016,0.5530006250586749,0.0
300.tif,Flatfield,N/A,HP,512,512,1.0,25458.7333984375,0.9899828433990479,0.0015982240438461304,-2.0614969730377197,25.280364990234375,0.5147412663739805,0.0
